Nombre	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Limit	Format	Text
Bulbasaur	Gen1	Bulbasaur	Planta	Tierra	4	600	900	3	Speed	Cuando esta carta destruye a 1 Pokemon, incrementa tus Life Points en un valor equivalente a la diferencia entre los puntos de ATK de ambas cartas.
Ivysaur	Gen1	Ivysaur	Planta	Tierra	5	1200	1600	3	Speed	Cuando esta carta es invocada de forma normal con exito, anade 1 'Paralizador' de tu mazo a tu mano. Mezcla el mazo.
Venusaur	Gen1	Venusaur	Planta	Tierra	7	1800	2000	3	Speed	En cada una de tus standby phases, mientras esta carta permanezca en tu lado del campo, incrementa tus Life Points en 500 puntos.
Charmander	Gen1	Charmander	Fuego	Fuego	4	800	500	3	Speed	Durante la fase de batalla de tu turno, si tus Life Points son 2000 o menos, duplica el ATK de esta carta.
Charmeleon	Gen1	Charmeleon	Fuego	Fuego	5	1500	1200	3	Speed	Cuando esta carta declara un ataque, antes del calculo de dano, reduce el ATK del objetivo en 300 puntos.
Charizard	Gen1	Charizard	Fuego	Viento	7	2000	1800	3	Speed	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Cuando esta carta es invocada de forma normal con exito, reduce el ATK de todos los Pokemon del oponente en 600 puntos. Una vez por turno, durante tu Main Phase, puedes anadir 1 'Llamarada' de tu mazo a tu mano. Mezcla el mazo
Squirtle	Gen1	Squirtle	Agua	Agua	4	700	1100	3	Speed	Durante la fase de batalla del turno de cualquier jugador, puedes cambiar esta carta a posicion de DEF.
Wartortle	Gen1	Wartortle	Agua	Agua	5	1550	1600	3	Speed	Durante la fase de batalla de tu turno, si tus Life Points son 2000 o menos, duplica el ATK de esta carta. Si 'Danza lluvia' está activa en el campo, en cada una de tus Standby Phases incrementa tus Life Points en 200 puntos.
Blastoise	Gen1	Blastoise	Agua	Agua	7	1900	2500	3	Speed	Mientras controles esta carta, incrementa en 300 puntos el ATK de los Pokemon de Agua en tu lado del campo.
Caterpie	Gen1	Caterpie	Bicho	Tierra	2	200	100	3	Speed	Tiene la piel de color verde. Cuando la muda, se recubre de seda y se convierte en capullo
Metapod	Gen1	Metapod	Bicho	Tierra	5	0	500	3	Speed	Esta carta solo puede ser invocada de forma especial enviando 1 'Caterpie' en tu lado del campo. Cuando es declarada como objetivo de ataque, incrementa su DEF en 300 puntos
Butterfree	Gen1	Butterfree	Bicho	Viento	5	1000	1400	3	Speed	Cuando esta carta batalla contra 1 Pokemon Psiquico, duplica su ATK hasta el final del turno.
Weedle	Gen1	Weedle	Bicho	Tierra	2	250	200	3	Speed	Cuando esta carta ataca a 1 Pokemon, antes del calculo de dano, reduce la DEF del objetivo en 200 puntos.
Kakuna	Gen1	Kakuna	Bicho	Tierra	5	0	600	3	Speed	Esta carta solo puede ser invocada de forma especial enviando 1 'Weedle' en tu lado del campo. Cuando es declarada como objetivo de ataque, incrementa su DEF en 300 puntos
Beedrill	Gen1	Beedrill	Bicho	Tierra	5	1100	1300	3	Speed	Esta carta puede atacar 2 veces en un mismo turno.
Pidgey	Gen1	Pidgey	Volador	Viento	3	500	700	3	Speed	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Cuando batalla contra 1 Pokemon Planta o Bicho, duplica su ATK hasta el final del turno
Pidgeotto	Gen1	Pidgeotto	Volador	Viento	5	1200	1100	3	Speed	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Durante la fase de batalla de tu turno, puede atacar directamente a los Life Points del oponente
Pidgeot 	Gen1	Pidgeot	Volador	Viento	7	1850	1500	3	Speed	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Una vez por turno, selecciona 1 Pokemon que el oponente controla y regresalo a la mano de su propietario.
Rattata	Gen1	Rattata	Normal	Tierra	3	800	500	3	Speed	Tiene unos largos y afilados colmillos que no dejan de crecer. Le resultan muy utiles para destruir cosas
Raticate	Gen1	Raticate	Normal	Tierra	5	1600	1100	3	Speed	Cada pata trasera tiene tres dedos palmeados que le permiten nadar por los rios
Spearow	Gen1	Spearow	Volador	Viento	3	600	750	3	Speed	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Cuando esta carta es invocada de forma normal con exito, selecciona 1 Pokemon del oponente: reduce su ATK en 200 puntos
Fearow	Gen1	Fearow	Volador	Viento	5	1700	1500	3	Speed	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Cuando ataca a 1 Pokemon en posicion de defensa, inflige dano de penetracion
Ekans	Gen1	Ekans	Veneno	Tierra	3	700	500	3	Speed	Cuando esta carta es invocada de forma normal, reduce la DEF de los Pokemon del oponente en 300 puntos
Arbok	Gen1	Arbok	Veneno	Tierra	5	1600	1400	3	Speed	Una vez por turno, selecciona 1 carta de Pokemon que el oponente controla y cambiala a posicion de defensa.  
Pikachu	Gen1	Pikachu	Electrico	Luz	4	1100	900	3	Speed	Durante la fase de batalla de tu turno, antes del cálculo de dano, si esta carta batalla contra un Pokemon de Agua o Viento, duplica su ATK.
Raichu	Gen1	Raichu	Electrico	Luz	5	1600	1500	3	Speed	Esta carta solo puede ser invocada por el efecto de "Piedra Trueno". Cuando es invocada con exito, anade 1 "Rayo" de tu mazo a tu mano. Mezcla el mazo.
Sandshrew	Gen1	Sandshrew	Tierra	Tierra	4	900	1200	3	Speed	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Si 'Tormenta de Arena' se encuentra activa en el campo, esta carta no puede ser destruida como resultado de una batalla
Sandslash	Gen1	Sandslash	Tierra	Tierra	5	1600	1700	3	Speed	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Cuando esta carta declara un ataque, antes del calculo de dano, reduce la DEF del objetivo en 500 puntos
Nidoran Hembra	Gen1	Nidoran_Hembra	Veneno	Tierra	3	600	500	3	Speed	Incrementa la DEF de esta carta en 300 puntos por cada "Nidoran macho" en tu lado del campo.
Nidorina	Gen1	Nidorina	Veneno	Tierra	5	1550	1600	3	Speed	Cuando esta carta es invocada de forma normal, invoca de forma especial 1 "Nidoran hembra" de tu mano.
Nidoqueen	Gen1	Nidoqueen	Veneno	Tierra	6	1800	1900	3	Speed	Esta carta solo puede ser invocada por el efecto de "Piedra Lunar" y enviando al Cementerio 1 'Nidorina' en tu lado del campo. No puede ser destruida en batalla por Pokemon Electricos. Cuando esta carta ataca a 1 Pokemon del oponente, reduce la DEF del objetivo en 500 puntos
Nidoran Macho	Gen1	Nidoran_Macho	Veneno	Tierra	3	650	600	3	Speed	Incrementa el ATK de esta carta en 300 puntos por cada "Nidoran hembra" en tu lado del campo.
Nidorino	Gen1	Nidorino	Veneno	Tierra	5	1650	1600	3	Speed	Esta carta puede atacar 2 veces en un mismo turno
Nidoking	Gen1	Nidoking	Veneno	Tierra	6	1900	2100	3	Speed	Esta carta solo puede ser invocada por el efecto de "Piedra Lunar"  y enviando al Cementerio 1 'Nidorino' en tu lado del campo. No puede ser destruida en batalla por Pokemon Electricos. Si esta carta ataca a 1 Pokemon en posicion de defensa, inflige dano de penetracion
Clefairy	Gen1	Clefairy	Normal	Tierra	3	400	500	3	Speed	Cuando esta carta es invocada de forma normal con exito, anade 1 "Piedra Lunar" de tu mazo a tu mano. Mezcla el mazo.
Clefable	Gen1	Clefable	Normal	Tierra	5	1000	1500	3	Speed	Esta carta solo puede ser invocada por el efecto de "Piedra Lunar"  y enviando al Cementerio 1 'Clefairy' en tu lado del campo. En cada una de tus Standby Phases, incrementa tus Life Points en 200 puntos
Vulpix	Gen1	Vulpix	Fuego	Fuego	3	500	600	3	Speed	Esta carta no puede ser destruida en batalla por ataques de Pokemon Fuego.
Ninetales	Gen1	Ninetales	Fuego	Fuego	5	1600	1550	3	Speed	Esta carta solo puede ser invocada por el efecto de "Piedra Fuego"  y enviando al Cementerio 1 'Vulpix' en tu lado del campo. Cuando es invocada con exito, selecciona 1 Pokemon del oponente: este pierde 300 de ATK.
Jigglypuff	Gen1	Jigglypuff	Normal	Tierra	3	400	500	3	Speed	Cuando esta carta es invocada, busca en tu mazo 1 'Canto' y anadelo a tu mano. Mezcla el mazo.
