Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Limit	Format	Text
Chikorita	JHT02	Chikorita	Planta	Tierra	4	500	700	3	TCG	Si tus Life Points son 2000 o menos, duplica la DEF original de esta carta.
Bayleef	JHT02	Bayleef	Planta	Tierra	5	800	1500	3	TCG	En cada una de tus Standby Phases, incrementa tus Life Points en 200 puntos. Si la carta 'Dia Soleado' se encuentra activa en el campo, incrementa tus Life Points en 400 puntos.
Meganium	JHT02	Meganium	Planta	Tierra	7	1400	2000	3	TCG	Cuando esta carta es invocada, destruye todas las cartas Trampa Continuas boca arriba en el campo del oponente. Mientras esta carta permanezca boca arriba en el campo, incrementa la DEF de los Pokemon Planta que controles en 300 puntos
Cyndaquil	JHT02	Cyndaquil	Fuego	Fuego	4	700	600	3	TCG	Si en tu mano tienes solo 1 carta, durante la Battle Phase de tu turno, duplica el ATK original de esta carta 
Quilava	JHT02	Quilava	Fuego	Fuego	5	1500	1300	3	TCG	Esta carta no puede ser destruida por Pokemon Fuego, y ademas reduce el dano de batalla a 0. Cuando esta carta declara un ataque, ninguna carta Magica/Trampa que niegue ataques puede ser activada
Typhlosion	JHT02	Typhlosion	Fuego	Fuego	7	1800	1600	3	TCG	Si tus Life Points son 4000 o mas, duplica el ATK de esta carta. Cuando declara un ataque, antes del calculo de dano, reduce el ATK del objetivo en 600 puntos. Si esta carta destruye a 1 Pokemon, tu oponente descarta 1 carta de la parte superior de su mazo  
Totodile	JHT02	Totodile	Agua	Agua	4	800	700	3	TCG	Si tus Life Points son 2000 o menos, duplica el ATK original de esta carta
Croconaw	JHT02	Croconaw	Agua	Agua	5	1600	1400	3	TCG	Cuando esta carta declara un ataque, antes del calculo de dano, reduce la DEF del objetivo en 200 puntos
Feraligatr	JHT02	Feraligatr	Agua	Agua	7	2200	1900	3	TCG	Cuando esta carta es invocada con exito, selecciona 1 Pokemon del oponente y cambialo a posicion de defensa. Cuando declara un ataque, inflige dano de penetracion
Sentret	JHT02	Sentret	Normal	Tierra	2	400	300	3	TCG	Volteo: selecciona 1 Pokemon que controles. Gana 300 puntos de ATK hasta el final del turno 
